MON,ASL,MON
MON,NLN,MON
MON,VAL,MON
MON,KVB,MON
MON,TEN,MON
MON,TEQ,MON
MON,TRB,MON
MON,TRC,MON
MON,TRO,MON
MON,VFB,MON
MON,OSO,MON
MON,MID,MON
MON,OSC,MON
MON,OSE,MON
MON,OSS,MON
MON,KVB,ASL,OSC,OSO,MON
MON,KVB,ASL,OSO,OSE,MON
MON,KVB,ASL,OSO,OSS,MON
MON,KVB,ASL,MID,OSC,MON
MON,OSE,MID,ASL,KVB,MON
MON,KVB,ASL,MID,OSS,MON
MON,KVB,ASL,OSC,OSE,MON
MON,KVB,ASL,OSC,OSS,MON
MON,KVB,ASL,OSE,OSS,MON
MON,TEN,TRB,ASL,TEQ,MON
MON,TEN,ASL,TEQ,TRC,MON
MON,TEQ,ASL,TEN,TRO,MON
MON,TEN,VFB,ASL,TEQ,MON
MON,TEN,OSO,ASL,TEQ,MON
MON,TEN,MID,ASL,TEQ,MON
MON,TEN,OSC,ASL,TEQ,MON
MON,TEN,OSE,ASL,TEQ,MON
MON,TEN,OSS,ASL,TEQ,MON
MON,TEN,TRB,ASL,TRC,MON
MON,ASL,TRB,TEN,TRO,MON
MON,ASL,VFB,TRB,TEN,MON
MON,ASL,OSO,TRB,TEN,MON
MON,ASL,MID,TEN,TRB,MON
MON,ASL,OSC,TEN,TRB,MON
MON,TRB,TEN,OSS,ASL,MON
MON,TRC,ASL,TEN,TRO,MON
MON,TEN,VFB,ASL,TRC,MON
MON,TEN,OSO,ASL,TRC,MON
MON,TEN,MID,ASL,TRC,MON
MON,TEN,OSC,ASL,TRC,MON
MON,TEN,OSE,ASL,TRC,MON
MON,TEN,OSS,ASL,TRC,MON
MON,ASL,VFB,TEN,TRO,MON
MON,ASL,OSO,TEN,TRO,MON
MON,ASL,MID,TEN,TRO,MON
MON,ASL,OSC,TEN,TRO,MON
MON,ASL,OSE,TEN,TRO,MON
MON,TEN,ASL,OSS,TRO,MON
MON,ASL,VFB,OSO,TEN,MON
MON,ASL,MID,VFB,TEN,MON
MON,TEN,OSC,ASL,VFB,MON
MON,TEN,OSE,ASL,VFB,MON
MON,OSS,ASL,VFB,TEN,MON
MON,TEN,OSO,MID,ASL,MON
MON,ASL,OSC,OSO,TEN,MON
MON,TEN,OSE,OSO,ASL,MON
MON,TEN,OSO,ASL,OSS,MON
MON,TEN,OSC,MID,ASL,MON
MON,ASL,MID,OSE,TEN,MON
MON,ASL,MID,OSS,TEN,MON
MON,ASL,OSC,OSE,TEN,MON
MON,ASL,OSC,OSS,TEN,MON
MON,ASL,OSS,OSE,TEN,MON
MON,TRB,ASL,TEQ,TRC,MON
MON,TRO,TRB,ASL,TEQ,MON
MON,TRB,VFB,ASL,TEQ,MON
MON,TEQ,ASL,OSO,TRB,MON
MON,TEQ,ASL,MID,TRB,MON
MON,TEQ,ASL,OSC,TRB,MON
MON,TEQ,ASL,OSS,TRB,MON
MON,TRC,TEQ,ASL,TRO,MON
MON,TRC,TEQ,VFB,ASL,MON
MON,TRC,TEQ,ASL,OSO,MON
MON,TRC,TEQ,ASL,MID,MON
MON,TRC,TEQ,ASL,OSC,MON
MON,TRC,TEQ,ASL,OSE,MON
MON,TRC,TEQ,ASL,OSS,MON
MON,TRO,VFB,ASL,TEQ,MON
MON,TEQ,ASL,OSO,TRO,MON
MON,TEQ,ASL,MID,TRO,MON
MON,TEQ,ASL,OSC,TRO,MON
MON,TEQ,ASL,OSE,TRO,MON
MON,TRO,OSS,ASL,TEQ,MON
MON,OSO,VFB,ASL,TEQ,MON
MON,ASL,MID,VFB,TEQ,MON
MON,TEQ,VFB,ASL,OSC,MON
MON,TEQ,VFB,ASL,OSE,MON
MON,OSS,ASL,VFB,TEQ,MON
MON,TEQ,ASL,MID,OSO,MON
MON,TEQ,ASL,OSC,OSO,MON
MON,TEQ,ASL,OSO,OSE,MON
MON,TEQ,ASL,OSO,OSS,MON
MON,TEQ,ASL,MID,OSC,MON
MON,TEQ,ASL,MID,OSE,MON
MON,OSS,MID,ASL,TEQ,MON
MON,TEQ,ASL,OSC,OSE,MON
MON,TEQ,ASL,OSC,OSS,MON
MON,TEQ,ASL,OSE,OSS,MON
MON,TRO,TRB,ASL,TRC,MON
MON,TRB,VFB,ASL,TRC,MON
MON,TRB,OSO,ASL,TRC,MON
MON,TRB,MID,ASL,TRC,MON
MON,TRB,OSC,ASL,TRC,MON
MON,TRB,OSS,ASL,TRC,MON
MON,ASL,VFB,TRB,TRO,MON
MON,TRB,ASL,OSO,TRO,MON
MON,TRB,ASL,MID,TRO,MON
MON,TRB,ASL,OSC,TRO,MON
MON,TRB,ASL,OSE,TRO,MON
MON,TRO,OSS,ASL,TRB,MON
MON,ASL,VFB,OSO,TRB,MON
MON,ASL,MID,VFB,TRB,MON
MON,TRB,VFB,ASL,OSC,MON
MON,TRB,VFB,ASL,OSS,MON
MON,ASL,MID,OSO,TRB,MON
MON,ASL,OSC,OSO,TRB,MON
MON,ASL,OSE,OSO,TRB,MON
MON,TRB,OSO,ASL,OSS,MON
MON,TRB,OSC,MID,ASL,MON
MON,ASL,MID,OSE,TRB,MON
MON,OSS,MID,ASL,TRB,MON
MON,TRB,ASL,OSC,OSS,MON
MON,TRO,VFB,ASL,TRC,MON
MON,TRC,ASL,OSO,TRO,MON
MON,TRC,ASL,MID,TRO,MON
MON,TRC,ASL,OSC,TRO,MON
MON,TRC,ASL,OSE,TRO,MON
MON,TRO,OSS,ASL,TRC,MON
MON,OSO,VFB,ASL,TRC,MON
MON,VFB,MID,ASL,TRC,MON
MON,TRC,VFB,ASL,OSC,MON
MON,TRC,VFB,ASL,OSE,MON
MON,OSS,ASL,VFB,TRC,MON
MON,TRC,ASL,MID,OSO,MON
MON,TRC,ASL,OSC,OSO,MON
MON,TRC,ASL,OSO,OSE,MON
MON,TRC,ASL,OSO,OSS,MON
MON,TRC,ASL,MID,OSC,MON
MON,TRC,ASL,MID,OSE,MON
MON,OSS,MID,ASL,TRC,MON
MON,TRC,ASL,OSC,OSE,MON
MON,TRC,ASL,OSC,OSS,MON
MON,TRC,ASL,OSE,OSS,MON
MON,ASL,VFB,OSO,TRO,MON
MON,TRO,MID,ASL,VFB,MON
MON,TRO,OSC,ASL,VFB,MON
MON,TRO,OSE,ASL,VFB,MON
MON,TRO,OSS,ASL,VFB,MON
MON,TRO,OSO,MID,ASL,MON
MON,ASL,OSC,OSO,TRO,MON
MON,ASL,OSO,OSE,TRO,MON
MON,ASL,OSO,OSS,TRO,MON
MON,ASL,MID,OSC,TRO,MON
MON,ASL,MID,OSE,TRO,MON
MON,ASL,MID,OSS,TRO,MON
MON,ASL,OSC,OSE,TRO,MON
MON,ASL,OSC,OSS,TRO,MON
MON,ASL,OSE,OSS,TRO,MON
MON,OSO,MID,ASL,VFB,MON
MON,VFB,ASL,OSC,OSO,MON
MON,ASL,VFB,OSO,OSE,MON
MON,ASL,VFB,OSO,OSS,MON
MON,VFB,ASL,MID,OSC,MON
MON,OSE,MID,ASL,VFB,MON
MON,VFB,ASL,MID,OSS,MON
MON,VFB,ASL,OSC,OSE,MON
MON,VFB,ASL,OSC,OSS,MON
MON,OSS,OSE,ASL,VFB,MON
MON,ASL,MID,OSC,OSO,MON
MON,ASL,MID,OSE,OSO,MON
MON,OSS,MID,ASL,OSO,MON
MON,ASL,OSC,OSE,OSO,MON
MON,ASL,OSO,OSC,OSS,MON
MON,OSS,OSE,OSO,ASL,MON
MON,ASL,MID,OSE,OSC,MON
MON,ASL,MID,OSS,OSC,MON
MON,ASL,MID,OSS,OSE,MON
MON,ASL,OSC,OSE,OSS,MON
MON,KVB,VAL,NLN,TEN,MON
MON,KVB,VAL,NLN,TEQ,MON
MON,KVB,VAL,NLN,TRB,MON
MON,KVB,VAL,NLN,TRC,MON
MON,KVB,VAL,NLN,TRO,MON
MON,KVB,VAL,NLN,VFB,MON
MON,KVB,VAL,NLN,OSO,MON
MON,KVB,VAL,NLN,MID,MON
MON,KVB,VAL,NLN,OSC,MON
MON,KVB,VAL,NLN,OSE,MON
MON,KVB,VAL,NLN,OSS,MON
MON,TEN,NLN,VAL,TEQ,MON
MON,VAL,NLN,TRB,TEN,MON
MON,TEN,NLN,VAL,TRC,MON
MON,VAL,NLN,TEN,TRO,MON
MON,VAL,NLN,VFB,TEN,MON
MON,VAL,NLN,OSO,TEN,MON
MON,TEN,MID,NLN,VAL,MON
MON,VAL,NLN,OSC,TEN,MON
MON,VAL,NLN,OSE,TEN,MON
MON,TEN,OSS,NLN,VAL,MON
MON,TEQ,VAL,NLN,TRB,MON
MON,VAL,NLN,TEQ,TRC,MON
MON,TEQ,VAL,NLN,TRO,MON
MON,VAL,NLN,VFB,TEQ,MON
MON,OSO,NLN,VAL,TEQ,MON
MON,TEQ,VAL,NLN,MID,MON
MON,OSC,NLN,VAL,TEQ,MON
MON,OSE,NLN,VAL,TEQ,MON
MON,TEQ,VAL,NLN,OSS,MON
MON,TRB,NLN,VAL,TRC,MON
MON,VAL,NLN,TRB,TRO,MON
MON,VAL,NLN,VFB,TRB,MON
MON,VAL,NLN,OSO,TRB,MON
MON,VAL,NLN,MID,TRB,MON
MON,VAL,NLN,OSC,TRB,MON
MON,VAL,NLN,OSE,TRB,MON
MON,VAL,NLN,OSS,TRB,MON
MON,TRC,VAL,NLN,TRO,MON
MON,TRC,VAL,NLN,VFB,MON
MON,TRC,VAL,NLN,OSO,MON
MON,TRC,VAL,NLN,MID,MON
MON,TRC,VAL,NLN,OSC,MON
MON,TRC,VAL,NLN,OSE,MON
MON,TRC,VAL,NLN,OSS,MON
MON,VAL,NLN,VFB,TRO,MON
MON,VAL,NLN,OSO,TRO,MON
MON,VAL,NLN,MID,TRO,MON
MON,VAL,NLN,OSC,TRO,MON
MON,VAL,NLN,OSE,TRO,MON
MON,VAL,NLN,OSS,TRO,MON
MON,VAL,NLN,VFB,OSO,MON
MON,VAL,NLN,MID,VFB,MON
MON,VAL,NLN,VFB,OSC,MON
MON,VAL,NLN,VFB,OSE,MON
MON,VAL,NLN,VFB,OSS,MON
MON,VAL,NLN,MID,OSO,MON
MON,VAL,NLN,OSC,OSO,MON
MON,VAL,NLN,OSO,OSE,MON
MON,VAL,NLN,OSO,OSS,MON
MON,VAL,NLN,MID,OSC,MON
MON,VAL,NLN,MID,OSE,MON
MON,VAL,NLN,MID,OSS,MON
MON,VAL,NLN,OSC,OSE,MON
MON,VAL,NLN,OSC,OSS,MON
MON,VAL,NLN,OSE,OSS,MON
MON,TEN,NLN,KVB,TEQ,MON
MON,KVB,NLN,TRB,TEN,MON
MON,TRC,KVB,NLN,TEN,MON
MON,KVB,NLN,TEN,TRO,MON
MON,KVB,NLN,VFB,TEN,MON
MON,KVB,NLN,OSO,TEN,MON
MON,KVB,NLN,MID,TEN,MON
MON,KVB,NLN,OSC,TEN,MON
MON,KVB,NLN,OSE,TEN,MON
MON,KVB,NLN,OSS,TEN,MON
MON,TEQ,KVB,NLN,TRB,MON
MON,KVB,NLN,TEQ,TRC,MON
MON,TEQ,KVB,NLN,TRO,MON
MON,KVB,NLN,VFB,TEQ,MON
MON,OSO,NLN,KVB,TEQ,MON
MON,TEQ,KVB,NLN,MID,MON
MON,TEQ,KVB,NLN,OSC,MON
MON,TEQ,KVB,NLN,OSE,MON
MON,TEQ,KVB,NLN,OSS,MON
MON,TRB,NLN,KVB,TRC,MON
MON,KVB,NLN,TRB,TRO,MON
MON,KVB,NLN,VFB,TRB,MON
MON,KVB,NLN,OSO,TRB,MON
MON,KVB,NLN,MID,TRB,MON
MON,KVB,NLN,OSC,TRB,MON
MON,KVB,NLN,OSE,TRB,MON
MON,KVB,NLN,OSS,TRB,MON
MON,TRC,KVB,NLN,TRO,MON
MON,KVB,NLN,VFB,TRC,MON
MON,TRC,KVB,NLN,OSO,MON
MON,TRC,KVB,NLN,MID,MON
MON,TRC,KVB,NLN,OSC,MON
MON,TRC,KVB,NLN,OSE,MON
MON,TRC,KVB,NLN,OSS,MON
MON,KVB,NLN,VFB,TRO,MON
MON,KVB,NLN,OSO,TRO,MON
MON,KVB,NLN,MID,TRO,MON
MON,KVB,NLN,OSC,TRO,MON
MON,KVB,NLN,OSE,TRO,MON
MON,KVB,NLN,OSS,TRO,MON
MON,KVB,NLN,VFB,OSO,MON
MON,KVB,NLN,MID,VFB,MON
MON,KVB,NLN,VFB,OSC,MON
MON,KVB,NLN,VFB,OSE,MON
MON,KVB,NLN,VFB,OSS,MON
MON,KVB,NLN,MID,OSO,MON
MON,KVB,NLN,OSC,OSO,MON
MON,KVB,NLN,OSO,OSE,MON
MON,KVB,NLN,OSO,OSS,MON
MON,KVB,NLN,MID,OSC,MON
MON,KVB,NLN,MID,OSE,MON
MON,KVB,NLN,MID,OSS,MON
MON,KVB,NLN,OSC,OSE,MON
MON,KVB,NLN,OSC,OSS,MON
MON,KVB,NLN,OSE,OSS,MON
MON,TEN,TRB,NLN,TEQ,MON
MON,TEN,NLN,TEQ,TRC,MON
MON,TRO,TEN,NLN,TEQ,MON
MON,TEN,VFB,NLN,TEQ,MON
MON,TEN,OSO,NLN,TEQ,MON
MON,TEN,MID,NLN,TEQ,MON
MON,TEN,OSC,NLN,TEQ,MON
MON,TEQ,NLN,OSE,TEN,MON
MON,TEN,OSS,NLN,TEQ,MON
MON,TEN,TRB,NLN,TRC,MON
MON,TRO,TEN,TRB,NLN,MON
MON,TEN,TRB,VFB,NLN,MON
MON,NLN,OSO,TRB,TEN,MON
MON,NLN,MID,TEN,TRB,MON
MON,NLN,OSC,TEN,TRB,MON
MON,NLN,OSS,TEN,TRB,MON
MON,TRO,TEN,NLN,TRC,MON
MON,TEN,VFB,NLN,TRC,MON
MON,TEN,OSO,NLN,TRC,MON
MON,TEN,MID,NLN,TRC,MON
MON,TEN,OSC,NLN,TRC,MON
MON,TEN,OSE,NLN,TRC,MON
MON,TEN,OSS,NLN,TRC,MON
MON,NLN,VFB,TEN,TRO,MON
MON,NLN,OSO,TEN,TRO,MON
MON,NLN,MID,TEN,TRO,MON
MON,NLN,OSC,TEN,TRO,MON
MON,NLN,OSE,TEN,TRO,MON
MON,TEN,NLN,OSS,TRO,MON
MON,NLN,VFB,OSO,TEN,MON
MON,TEN,VFB,MID,NLN,MON
MON,NLN,VFB,OSC,TEN,MON
MON,TEN,OSE,VFB,NLN,MON
MON,TEN,VFB,NLN,OSS,MON
MON,NLN,MID,OSO,TEN,MON
MON,NLN,OSC,OSO,TEN,MON
MON,NLN,OSO,OSE,TEN,MON
MON,NLN,OSO,OSS,TEN,MON
MON,NLN,MID,OSC,TEN,MON
MON,NLN,MID,OSE,TEN,MON
MON,TEN,OSS,MID,NLN,MON
MON,NLN,OSC,OSE,TEN,MON
MON,TEN,OSS,OSC,NLN,MON
MON,NLN,OSE,OSS,TEN,MON
MON,TRB,NLN,TEQ,TRC,MON
MON,TEQ,NLN,TRB,TRO,MON
MON,TEQ,NLN,VFB,TRB,MON
MON,TEQ,NLN,OSO,TRB,MON
MON,TEQ,NLN,MID,TRB,MON
MON,TEQ,NLN,OSC,TRB,MON
MON,TEQ,NLN,OSS,TRB,MON
MON,TRC,TEQ,NLN,TRO,MON
MON,NLN,VFB,TEQ,TRC,MON
MON,OSO,NLN,TEQ,TRC,MON
MON,TRC,TEQ,NLN,MID,MON
MON,TRC,TEQ,NLN,OSC,MON
MON,TRC,TEQ,NLN,OSE,MON
MON,TRC,TEQ,NLN,OSS,MON
MON,TEQ,NLN,VFB,TRO,MON
MON,TEQ,NLN,OSO,TRO,MON
MON,TEQ,NLN,MID,TRO,MON
MON,TEQ,NLN,OSC,TRO,MON
MON,TEQ,NLN,OSE,TRO,MON
MON,TEQ,NLN,OSS,TRO,MON
MON,TEQ,NLN,VFB,OSO,MON
MON,NLN,MID,VFB,TEQ,MON
MON,TEQ,NLN,VFB,OSC,MON
MON,TEQ,NLN,VFB,OSE,MON
MON,TEQ,NLN,VFB,OSS,MON
MON,TEQ,NLN,MID,OSO,MON
MON,TEQ,NLN,OSC,OSO,MON
MON,TEQ,NLN,OSO,OSE,MON
MON,TEQ,NLN,OSO,OSS,MON
MON,TEQ,NLN,MID,OSC,MON
MON,TEQ,NLN,MID,OSE,MON
MON,TEQ,NLN,MID,OSS,MON
MON,TEQ,NLN,OSC,OSE,MON
MON,TEQ,NLN,OSC,OSS,MON
MON,TEQ,NLN,OSE,OSS,MON
MON,TRC,NLN,TRB,TRO,MON
MON,TRB,VFB,NLN,TRC,MON
MON,TRB,OSO,NLN,TRC,MON
MON,TRB,MID,NLN,TRC,MON
MON,TRB,OSC,NLN,TRC,MON
MON,TRB,OSS,NLN,TRC,MON
MON,NLN,VFB,TRB,TRO,MON
MON,TRB,NLN,OSO,TRO,MON
MON,TRB,NLN,MID,TRO,MON
MON,TRB,NLN,OSC,TRO,MON
MON,TRB,NLN,OSE,TRO,MON
MON,TRO,OSS,NLN,TRB,MON
MON,NLN,VFB,OSO,TRB,MON
MON,NLN,MID,VFB,TRB,MON
MON,NLN,VFB,OSC,TRB,MON
MON,TRB,VFB,NLN,OSS,MON
MON,NLN,MID,OSO,TRB,MON
MON,NLN,OSC,OSO,TRB,MON
MON,NLN,OSO,OSE,TRB,MON
MON,TRB,NLN,OSO,OSS,MON
MON,NLN,MID,OSC,TRB,MON
MON,NLN,MID,OSE,TRB,MON
MON,TRB,NLN,MID,OSS,MON
MON,TRB,NLN,OSC,OSS,MON
MON,TRC,NLN,VFB,TRO,MON
MON,TRC,NLN,OSO,TRO,MON
MON,TRC,NLN,MID,TRO,MON
MON,TRC,NLN,OSC,TRO,MON
MON,TRO,OSE,NLN,TRC,MON
MON,TRC,NLN,OSS,TRO,MON
MON,TRC,NLN,VFB,OSO,MON
MON,VFB,MID,NLN,TRC,MON
MON,OSC,VFB,NLN,TRC,MON
MON,TRC,NLN,VFB,OSE,MON
MON,TRC,NLN,VFB,OSS,MON
MON,TRC,NLN,MID,OSO,MON
MON,TRC,NLN,OSC,OSO,MON
MON,TRC,NLN,OSO,OSE,MON
MON,TRC,NLN,OSO,OSS,MON
MON,TRC,NLN,MID,OSC,MON
MON,TRC,NLN,MID,OSE,MON
MON,TRC,NLN,MID,OSS,MON
MON,TRC,NLN,OSC,OSE,MON
MON,TRC,NLN,OSC,OSS,MON
MON,OSS,OSE,NLN,TRC,MON
MON,NLN,VFB,OSO,TRO,MON
MON,VFB,NLN,MID,TRO,MON
MON,NLN,VFB,OSC,TRO,MON
MON,NLN,VFB,OSE,TRO,MON
MON,NLN,VFB,OSS,TRO,MON
MON,NLN,MID,OSO,TRO,MON
MON,NLN,OSC,OSO,TRO,MON
MON,NLN,OSO,OSE,TRO,MON
MON,NLN,OSO,OSS,TRO,MON
MON,NLN,MID,OSC,TRO,MON
MON,NLN,MID,OSE,TRO,MON
MON,NLN,MID,OSS,TRO,MON
MON,NLN,OSC,OSE,TRO,MON
MON,NLN,OSC,OSS,TRO,MON
MON,NLN,OSE,OSS,TRO,MON
MON,NLN,MID,OSO,VFB,MON
MON,NLN,VFB,OSO,OSC,MON
MON,NLN,VFB,OSO,OSE,MON
MON,NLN,VFB,OSO,OSS,MON
MON,NLN,MID,OSC,VFB,MON
MON,OSE,MID,NLN,VFB,MON
MON,VFB,NLN,MID,OSS,MON
MON,NLN,VFB,OSC,OSE,MON
MON,NLN,VFB,OSC,OSS,MON
MON,NLN,VFB,OSE,OSS,MON
MON,NLN,MID,OSC,OSO,MON
MON,NLN,MID,OSE,OSO,MON
MON,OSO,OSS,MID,NLN,MON
MON,NLN,OSO,OSC,OSE,MON
MON,NLN,OSO,OSC,OSS,MON
MON,NLN,OSO,OSE,OSS,MON
MON,NLN,MID,OSE,OSC,MON
MON,NLN,MID,OSS,OSC,MON
MON,NLN,MID,OSS,OSE,MON
MON,NLN,OSC,OSE,OSS,MON
MON,TEN,VAL,KVB,TEQ,MON
MON,KVB,VAL,TRB,TEN,MON
MON,TEN,VAL,KVB,TRC,MON
MON,KVB,VAL,TEN,TRO,MON
MON,KVB,VAL,VFB,TEN,MON
MON,KVB,VAL,OSO,TEN,MON
MON,KVB,VAL,MID,TEN,MON
MON,KVB,VAL,OSC,TEN,MON
MON,KVB,VAL,OSE,TEN,MON
MON,KVB,VAL,OSS,TEN,MON
MON,TEQ,KVB,VAL,TRB,MON
MON,KVB,VAL,TEQ,TRC,MON
MON,TEQ,KVB,VAL,TRO,MON
MON,KVB,VAL,VFB,TEQ,MON
MON,TEQ,KVB,VAL,OSO,MON
MON,TEQ,KVB,VAL,MID,MON
MON,TEQ,KVB,VAL,OSC,MON
MON,TEQ,KVB,VAL,OSE,MON
MON,TEQ,KVB,VAL,OSS,MON
MON,TRB,VAL,KVB,TRC,MON
MON,KVB,VAL,TRB,TRO,MON
MON,KVB,VAL,VFB,TRB,MON
MON,KVB,VAL,OSO,TRB,MON
MON,TRB,MID,VAL,KVB,MON
MON,KVB,VAL,OSC,TRB,MON
MON,KVB,VAL,OSE,TRB,MON
MON,TRB,OSS,VAL,KVB,MON
MON,TRC,KVB,VAL,TRO,MON
MON,KVB,VAL,VFB,TRC,MON
MON,TRC,KVB,VAL,OSO,MON
MON,TRC,KVB,VAL,MID,MON
MON,TRC,KVB,VAL,OSC,MON
MON,TRC,KVB,VAL,OSE,MON
MON,TRC,KVB,VAL,OSS,MON
MON,KVB,VAL,VFB,TRO,MON
MON,KVB,VAL,OSO,TRO,MON
MON,KVB,VAL,MID,TRO,MON
MON,KVB,VAL,OSC,TRO,MON
MON,KVB,VAL,OSE,TRO,MON
MON,KVB,VAL,OSS,TRO,MON
MON,KVB,VAL,VFB,OSO,MON
MON,KVB,VAL,MID,VFB,MON
MON,KVB,VAL,VFB,OSC,MON
MON,KVB,VAL,VFB,OSE,MON
MON,KVB,VAL,VFB,OSS,MON
MON,OSO,MID,VAL,KVB,MON
MON,KVB,VAL,OSC,OSO,MON
MON,KVB,VAL,OSO,OSE,MON
MON,KVB,VAL,OSO,OSS,MON
MON,KVB,VAL,MID,OSC,MON
MON,OSE,MID,VAL,KVB,MON
MON,KVB,VAL,MID,OSS,MON
MON,KVB,VAL,OSC,OSE,MON
MON,KVB,VAL,OSC,OSS,MON
MON,KVB,VAL,OSE,OSS,MON
MON,TEN,TRB,VAL,TEQ,MON
MON,TEN,VAL,TEQ,TRC,MON
MON,TEQ,VAL,TEN,TRO,MON
MON,TEN,VFB,VAL,TEQ,MON
MON,TEN,OSO,VAL,TEQ,MON
MON,TEN,MID,VAL,TEQ,MON
MON,TEN,OSC,VAL,TEQ,MON
MON,TEN,OSE,VAL,TEQ,MON
MON,TEN,OSS,VAL,TEQ,MON
MON,TEN,TRB,VAL,TRC,MON
MON,VAL,TRB,TEN,TRO,MON
MON,VAL,VFB,TRB,TEN,MON
MON,TEN,TRB,OSO,VAL,MON
MON,VAL,MID,TEN,TRB,MON
MON,VAL,OSC,TEN,TRB,MON
MON,VAL,OSE,TEN,TRB,MON
MON,TRB,TEN,OSS,VAL,MON
MON,TRC,VAL,TEN,TRO,MON
MON,TEN,VFB,VAL,TRC,MON
MON,TEN,OSO,VAL,TRC,MON
MON,TRC,VAL,MID,TEN,MON
MON,TEN,OSC,VAL,TRC,MON
MON,TEN,OSE,VAL,TRC,MON
MON,TRC,VAL,OSS,TEN,MON
MON,VAL,VFB,TEN,TRO,MON
MON,VAL,OSO,TEN,TRO,MON
MON,VAL,MID,TEN,TRO,MON
MON,VAL,OSC,TEN,TRO,MON
MON,VAL,OSE,TEN,TRO,MON
MON,TEN,VAL,OSS,TRO,MON
MON,VAL,VFB,OSO,TEN,MON
MON,VAL,MID,VFB,TEN,MON
MON,VAL,VFB,OSC,TEN,MON
MON,TEN,OSE,VFB,VAL,MON
MON,VAL,VFB,OSS,TEN,MON
MON,TEN,OSO,MID,VAL,MON
MON,VAL,OSC,OSO,TEN,MON
MON,VAL,OSO,OSE,TEN,MON
MON,TEN,OSS,OSO,VAL,MON
MON,TEN,OSC,MID,VAL,MON
MON,VAL,MID,OSE,TEN,MON
MON,VAL,MID,OSS,TEN,MON
MON,VAL,OSC,OSE,TEN,MON
MON,TEN,OSS,OSC,VAL,MON
MON,VAL,OSE,OSS,TEN,MON
MON,TRB,VAL,TEQ,TRC,MON
MON,TEQ,VAL,TRB,TRO,MON
MON,TEQ,VAL,VFB,TRB,MON
MON,TRB,OSO,VAL,TEQ,MON
MON,TEQ,VAL,MID,TRB,MON
MON,TEQ,VAL,OSC,TRB,MON
MON,TRB,OSE,VAL,TEQ,MON
MON,TEQ,VAL,OSS,TRB,MON
MON,TRC,TEQ,VAL,TRO,MON
MON,VAL,VFB,TEQ,TRC,MON
MON,TRC,TEQ,VAL,OSO,MON
MON,TRC,TEQ,VAL,MID,MON
MON,TRC,TEQ,VAL,OSC,MON
MON,TRC,TEQ,VAL,OSE,MON
MON,TRC,TEQ,VAL,OSS,MON
MON,TEQ,VAL,VFB,TRO,MON
MON,TEQ,VAL,OSO,TRO,MON
MON,TEQ,VAL,MID,TRO,MON
MON,TRO,OSC,VAL,TEQ,MON
MON,TEQ,VAL,OSE,TRO,MON
MON,TEQ,VAL,OSS,TRO,MON
MON,TEQ,VAL,VFB,OSO,MON
MON,VAL,MID,VFB,TEQ,MON
MON,TEQ,VAL,VFB,OSC,MON
MON,TEQ,VAL,VFB,OSE,MON
MON,TEQ,VAL,VFB,OSS,MON
MON,TEQ,VAL,MID,OSO,MON
MON,OSO,OSC,VAL,TEQ,MON
MON,TEQ,VAL,OSO,OSE,MON
MON,TEQ,VAL,OSO,OSS,MON
MON,TEQ,VAL,MID,OSC,MON
MON,TEQ,VAL,MID,OSE,MON
MON,TEQ,VAL,MID,OSS,MON
MON,TEQ,VAL,OSC,OSE,MON
MON,OSS,OSC,VAL,TEQ,MON
MON,TEQ,VAL,OSE,OSS,MON
MON,TRC,VAL,TRB,TRO,MON
MON,TRB,VFB,VAL,TRC,MON
MON,TRB,OSO,VAL,TRC,MON
MON,TRB,MID,VAL,TRC,MON
MON,TRB,OSC,VAL,TRC,MON
MON,TRB,OSE,VAL,TRC,MON
MON,TRB,OSS,VAL,TRC,MON
MON,VAL,VFB,TRB,TRO,MON
MON,TRB,VAL,OSO,TRO,MON
MON,TRB,VAL,MID,TRO,MON
MON,TRO,OSC,VAL,TRB,MON
MON,TRB,VAL,OSE,TRO,MON
MON,TRO,OSS,VAL,TRB,MON
MON,VAL,VFB,OSO,TRB,MON
MON,VAL,MID,VFB,TRB,MON
MON,VAL,VFB,OSC,TRB,MON
MON,VAL,VFB,OSE,TRB,MON
MON,OSS,VAL,VFB,TRB,MON
MON,VAL,MID,OSO,TRB,MON
MON,TRB,OSO,OSC,VAL,MON
MON,VAL,OSO,OSE,TRB,MON
MON,TRB,OSS,OSO,VAL,MON
MON,TRB,OSC,MID,VAL,MON
MON,VAL,MID,OSE,TRB,MON
MON,VAL,MID,OSS,TRB,MON
MON,VAL,OSC,OSE,TRB,MON
MON,VAL,OSC,OSS,TRB,MON
MON,VAL,OSE,OSS,TRB,MON
MON,TRC,VAL,VFB,TRO,MON
MON,TRC,VAL,OSO,TRO,MON
MON,TRC,VAL,MID,TRO,MON
MON,TRC,VAL,OSC,TRO,MON
MON,TRC,VAL,OSE,TRO,MON
MON,TRC,VAL,OSS,TRO,MON
MON,TRC,VAL,VFB,OSO,MON
MON,TRC,VAL,MID,VFB,MON
MON,TRC,VAL,VFB,OSC,MON
MON,TRC,VAL,VFB,OSE,MON
MON,TRC,VAL,VFB,OSS,MON
MON,TRC,VAL,MID,OSO,MON
MON,TRC,VAL,OSC,OSO,MON
MON,TRC,VAL,OSO,OSE,MON
MON,TRC,VAL,OSO,OSS,MON
MON,TRC,VAL,MID,OSC,MON
MON,TRC,VAL,MID,OSE,MON
